Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,-80.7999,-70.1658,90,bottom
D2,1N4148W,D_SOD-123,-99.8499,-70.1658,90,bottom
D3,1N4148W,D_SOD-123,-118.8999,-70.1658,90,bottom
D4,1N4148W,D_SOD-123,-137.9499,-70.1658,90,bottom
D5,1N4148W,D_SOD-123,-156.9999,-70.1658,90,bottom
D6,1N4148W,D_SOD-123,-176.0499,-70.1658,90,bottom
D7,1N4148W,D_SOD-123,-195.0999,-70.1658,90,bottom
D8,1N4148W,D_SOD-123,-214.1499,-70.1658,90,bottom
D9,1N4148W,D_SOD-123,-233.1999,-70.1658,90,bottom
D10,1N4148W,D_SOD-123,-252.2499,-70.1658,90,bottom
D11,1N4148W,D_SOD-123,-271.2999,-70.1658,90,bottom
D12,1N4148W,D_SOD-123,-290.3499,-70.1658,90,bottom
D13,1N4148W,D_SOD-123,-309.3999,-70.1658,90,bottom
D14,1N4148W,D_SOD-123,-337.9749,-70.1658,90,bottom
D15,1N4148W,D_SOD-123,-85.5605,-89.213,90,bottom
D16,1N4148W,D_SOD-123,-109.3715,-89.213,90,bottom
D17,1N4148W,D_SOD-123,-128.4205,-89.2127,90,bottom
D18,1N4148W,D_SOD-123,-147.4705,-89.2127,90,bottom
D19,1N4148W,D_SOD-123,-166.5205,-89.2127,90,bottom
D20,1N4148W,D_SOD-123,-185.5705,-89.2127,90,bottom
D21,1N4148W,D_SOD-123,-204.6205,-89.2127,90,bottom
D22,1N4148W,D_SOD-123,-223.6705,-89.2127,90,bottom
D23,1N4148W,D_SOD-123,-242.7205,-89.2127,90,bottom
D24,1N4148W,D_SOD-123,-261.7705,-89.2127,90,bottom
D25,1N4148W,D_SOD-123,-280.8205,-89.2127,90,bottom
D26,1N4148W,D_SOD-123,-299.8705,-89.2127,90,bottom
D27,1N4148W,D_SOD-123,-318.9085,-89.2127,90,bottom
D28,1N4148W,D_SOD-123,-342.7195,-89.2127,90,bottom
D29,1N4148W,D_SOD-123,-87.9401,-108.2618,90,bottom
D30,1N4148W,D_SOD-123,-114.1337,-108.2618,90,bottom
D31,1N4148W,D_SOD-123,-133.1825,-108.2618,90,bottom
D32,1N4148W,D_SOD-123,-152.2315,-108.2615,90,bottom
D33,1N4148W,D_SOD-123,-171.2815,-108.2615,90,bottom
D34,1N4148W,D_SOD-123,-190.3315,-108.2615,90,bottom
D35,1N4148W,D_SOD-123,-209.3815,-108.2615,90,bottom
D36,1N4148W,D_SOD-123,-228.4315,-108.2615,90,bottom
D37,1N4148W,D_SOD-123,-247.4815,-108.2615,90,bottom
D38,1N4148W,D_SOD-123,-266.5315,-108.2615,90,bottom
D39,1N4148W,D_SOD-123,-285.5815,-108.2615,90,bottom
D40,1N4148W,D_SOD-123,-304.6315,-108.2615,90,bottom
D41,1N4148W,D_SOD-123,-335.5762,-108.2615,90,bottom
D42,1N4148W,D_SOD-123,-92.704,-127.3103,90,bottom
D43,1N4148W,D_SOD-123,-123.6581,-127.2481,90,bottom
D44,1N4148W,D_SOD-123,-142.7071,-127.3103,90,bottom
D45,1N4148W,D_SOD-123,-161.7557,-127.3106,90,bottom
D46,1N4148W,D_SOD-123,-180.7985,-127.3106,90,bottom
D47,1N4148W,D_SOD-123,-199.8485,-127.3106,90,bottom
D48,1N4148W,D_SOD-123,-218.8985,-127.2481,90,bottom
D49,1N4148W,D_SOD-123,-237.9485,-127.3106,90,bottom
D50,1N4148W,D_SOD-123,-256.9985,-127.3106,90,bottom
D51,1N4148W,D_SOD-123,-276.0485,-127.2481,90,bottom
D52,1N4148W,D_SOD-123,-295.0973,-127.3106,90,bottom
D53,1N4148W,D_SOD-123,-330.8214,-127.2238,90,bottom
D54,1N4148W,D_SOD-123,-83.1796,-146.3591,90,bottom
D55,1N4148W,D_SOD-123,-106.9904,-146.3594,90,bottom
D56,1N4148W,D_SOD-123,-130.8014,-146.3594,90,bottom
D57,1N4148W,D_SOD-123,-202.2344,-146.3594,90,bottom
D58,1N4148W,D_SOD-123,-273.6674,-146.3594,90,bottom
D59,1N4148W,D_SOD-123,-297.4771,-146.3591,90,bottom
D60,1N4148W,D_SOD-123,-321.2894,-146.2969,90,bottom
D61,1N4148W,D_SOD-123,-345.1004,-146.3594,90,bottom
